Location, Mass, Year, Long, Lat
Anlong,2500,1971,25.15,105.18333
Marilia,2500,1971,-22.25,-49.93333
Fuyang,2500,1977,32.9,115.9
Varre-Sai,2500,2010,-20.85001,-41.73356
Samelia,2462,1921,25.66667,74.86667
Nejo,2450,1970,9.5,35.33333
Gujargaon,2449,1982,22.98333,76.05
Krasnoi-Ugol,2440,1829,54.03333,40.9
Vishnupur,2437,1906,23.1,87.43333
Honolulu,2420,1825,21.3,-157.86667
Messina,2405,1955,38.18333,15.56667
Calivo,2400,1916,11.75,122.33333
Ehole,2400,1961,-17.3,15.83333
Blackwell,2381,1906,36.83333,-97.33333
Fayetteville,2360,1934,36.05,-94.16667
Nobleborough,2300,1823,44.08333,-69.48333
Cape Girardeau,2300,1846,37.26667,-89.58333
L̴nghalsen,2300,1947,58.85,16.73333
Dundrum,2270,1865,52.55,-8.03333
Erxleben,2250,1812,52.21667,11.25
Kukschin,2250,1938,51.15,31.7
Tianzhang,2232,1986,32.94667,118.99
Karatu,2220,1963,-3.5,35.58333
Wittekrantz,2200,1880,-32.5,23
Whetstone Mountains,2139,2009,31.96185,-110.434183
Pantar,2130,1938,8.06667,124.28333
Prambachkirchen,2125,1932,48.3025,13.94083
Patrimonio,2121,1950,-19.53333,-48.56667
Duwun,2117,1943,33.43333,127.26667
Plantersville,2085,1930,30.7,-96.11667
Soroti,2050,1945,1.7,33.63333
Itapicuru-Mirim,2024,1879,-3.4,-44.33333
Legnano,2006,1855,45.25,11.25
Albareto,2000,1766,44.65,11.01667
Tounkin,2000,1824,51.73333,102.53333
Aumieres,2000,1842,44.33333,3.23333
Beuste,2000,1859,43.21667,-0.23333
Danville,2000,1868,34.4,-87.06667
Ibbenb�_ren,2000,1870,52.28333,7.7
Pavlovka,2000,1882,52.03333,43
Assisi,2000,1886,43.03333,12.55
Lesves,2000,1896,50.36667,4.73333
La Colina,2000,1924,-37.33333,-61.53333
Sinnai,2000,1956,39.3,9.2
Parambu,2000,1967,-6.23333,-40.7
Malakal,2000,1970,9.5,31.75
Kaidun,2000,1980,15,48.3
Macibini,1995,1936,-28.83333,31.95
Jalandhar,1967,1621,31,75
Vavilovka,1932,1876,46.15,32.83333
Gu̻a,1915,1891,43.76667,20.23333
Acapulco,1914,1976,16.88333,-99.9
Novo-Urei,1900,1886,54.81667,46
Bielokrynitschie,1900,1887,50.13333,27.16667
Kagarlyk,1900,1908,49.86667,30.83333
Dubrovnik,1900,1951,42.45833,18.44167
Guangrao,1900,1980,37.1,118.4
Richland Springs,1900,1980,31.25,-99.03333
Moore County,1880,1913,35.41667,-79.38333
Linum,1862,1854,52.75,12.9
Bjelaja Zerkov,1850,1796,49.78333,30.16667
Nagai,1810,1922,38.12167,140.06167
Changde,1810,1977,29.08333,111.75
Woodbridge,1800,1642,52.1,1.31667
Richmond,1800,1828,37.46667,-77.5
Akbarpur,1800,1838,29.71667,77.95
Dharwar,1800,1848,14.88333,75.6
Petersburg,1800,1855,35.3,-86.63333
Serra de Mag̩,1800,1923,-8.38333,-36.76667
Benld,1770.5,1938,39.08333,-89.15
Gnadenfrei,1750,1879,50.66667,16.76667
Sultanpur,1710.5,1916,25.93333,84.28333
Silao,1710,1995,20.93333,-101.38333
Slavetic,1708,1868,45.68333,15.6
Manbhoom,1700,1863,23.05,86.7
Chervony Kut,1700,1939,50.83333,34
Umm Ruaba,1700,1966,13.46667,31.21667
Borgo San Donino,1676,1808,44.86667,10.05
Rockhampton,1641,1895,-23.38333,150.51667
Kangean,1630,1908,-7,115.5
Aguada,1620,1930,-31.6,-65.23333
